装備ID,装備名,種別,対空,対爆,迎撃
1,12cm単装砲,小口径主砲,1,0,0
2,12.7cm連装砲,小口径主砲,2,0,0
3,10cm連装高角砲,小口径主砲,7,0,0
4,14cm単装砲,中口径主砲,0,0,0
5,15.5cm三連装砲,中口径主砲,4,0,0
6,20.3cm連装砲,中口径主砲,3,0,0
7,35.6cm連装砲,大口径主砲,4,0,0
8,41cm連装砲,大口径主砲,4,0,0
9,46cm三連装砲,大口径主砲,5,0,0
10,12.7cm連装高角砲,副砲,4,0,0
11,15.2cm単装砲,副砲,0,0,0
12,15.5cm三連装副砲,副砲,3,0,0
13,61cm三連装魚雷,魚雷,0,0,0
14,61cm四連装魚雷,魚雷,0,0,0
15,61cm四連装(酸素)魚雷,魚雷,0,0,0
16,九七式艦攻,艦上攻撃機,0,0,0
17,天山,艦上攻撃機,0,0,0
18,流星,艦上攻撃機,0,0,0
19,九六式艦戦,艦上戦闘機,2,0,0
20,零式艦戦21型,艦上戦闘機,5,0,0
21,零式艦戦52型,艦上戦闘機,6,0,0
22,烈風,艦上戦闘機,10,0,0
23,九九式艦爆,艦上爆撃機,0,0,0
24,彗星,艦上爆撃機,0,0,0
25,零式水上偵察機,水上偵察機,1,0,0
26,瑞雲,水上爆撃機,2,0,0
27,13号対空電探,小型電探,2,0,0
28,22号対水上電探,小型電探,0,0,0
29,33号対水上電探,小型電探,0,0,0
30,21号対空電探,大型電探,4,0,0
31,32号対水上電探,大型電探,0,0,0
32,14号対空電探,大型電探,6,0,0
33,改良型艦本式タービン,機関部強化,0,0,0
34,強化型艦本式缶,機関部強化,0,0,0
35,三式弾,対空強化弾,5,0,0
36,九一式徹甲弾,対艦強化弾,0,0,0
37,7.7mm機銃,対空機銃,2,0,0
38,12.7mm単装機銃,対空機銃,3,0,0
39,25mm連装機銃,対空機銃,5,0,0
40,25mm三連装機銃,対空機銃,6,0,0
41,甲標的,特殊潜航艇,0,0,0
42,応急修理要員,応急修理要員,0,0,0
43,応急修理女神,応急修理要員,0,0,0
44,九四式爆雷投射機,爆雷,0,0,0
45,三式爆雷投射機,爆雷,0,0,0
46,九三式水中聴音機,ソナー,0,0,0
47,三式水中探信儀,ソナー,0,0,0
48,12.7cm単装高角砲,小口径主砲,3,0,0
49,25mm単装機銃,対空機銃,4,0,0
50,20.3cm(3号)連装砲,中口径主砲,4,0,0
51,12cm30連装噴進砲,対空機銃,8,0,0
52,流星改,艦上攻撃機,0,0,0
53,烈風改,艦上戦闘機,12,0,0
54,彩雲,艦上偵察機,0,0,0
55,紫電改二,艦上戦闘機,9,0,0
56,震電改,艦上戦闘機,15,0,0
57,彗星一二型甲,艦上爆撃機,0,0,0
58,61cm五連装(酸素)魚雷,魚雷,0,0,0
59,零式水上観測機,水上偵察機,2,0,0
60,零式艦戦62型(爆戦),艦上爆撃機,4,0,0
61,二式艦上偵察機,艦上偵察機,1,0,0
62,試製晴嵐,水上爆撃機,0,0,0
63,12.7cm連装砲B型改二,小口径主砲,2,0,0
64,Ju87C改,艦上爆撃機,0,0,0
65,15.2cm連装砲,中口径主砲,3,0,0
66,8cm高角砲,副砲,6,0,0
67,53cm艦首(酸素)魚雷,魚雷,0,0,0
68,大発動艇,上陸用舟艇,0,0,0
69,カ号観測機,オートジャイロ,0,0,0
70,三式指揮連絡機(対潜),対潜哨戒機,0,0,0
71,10cm連装高角砲(砲架),副砲,7,0,0
72,増設バルジ(中型艦),追加装甲(中型),0,0,0
73,増設バルジ(大型艦),追加装甲(大型),0,0,0
74,探照灯,探照灯,0,0,0
75,ドラム缶(輸送用),簡易輸送部材,0,0,0
76,38cm連装砲,大口径主砲,1,0,0
77,15cm連装副砲,副砲,2,0,0
78,12.7cm単装砲,小口径主砲,0,0,0
79,瑞雲(六三四空),水上爆撃機,2,0,0
80,瑞雲12型,水上爆撃機,3,0,0
81,瑞雲12型(六三四空),水上爆撃機,3,0,0
82,九七式艦攻(九三一空),艦上攻撃機,0,0,0
83,天山(九三一空),艦上攻撃機,0,0,0
84,2cm 四連装FlaK 38,対空機銃,7,0,0
85,3.7cm FlaK M42,対空機銃,8,0,0
86,艦艇修理施設,艦艇修理施設,0,0,0
87,新型高温高圧缶,機関部強化,0,0,0
88,22号対水上電探改四,小型電探,0,0,0
89,21号対空電探改,大型電探,5,0,0
90,20.3cm(2号)連装砲,中口径主砲,3,0,0
91,12.7cm連装高角砲(後期型),小口径主砲,5,0,0
92,毘式40mm連装機銃,対空機銃,6,0,0
93,九七式艦攻(友永隊),艦上攻撃機,1,0,0
94,天山一二型(友永隊),艦上攻撃機,1,0,0
95,潜水艦53cm艦首魚雷(8門),潜水艦魚雷,0,0,0
96,零式艦戦21型(熟練),艦上戦闘機,8,0,0
97,九九式艦爆(熟練),艦上爆撃機,1,0,0
98,九七式艦攻(熟練),艦上攻撃機,0,0,0
99,九九式艦爆(江草隊),艦上爆撃機,0,0,0
100,彗星(江草隊),艦上爆撃機,1,0,0
101,照明弾,照明弾,0,0,0
102,九八式水上偵察機(夜偵),水上偵察機(夜偵),0,0,0
103,試製35.6cm三連装砲,大口径主砲,5,0,0
104,35.6cm連装砲(ダズル迷彩),大口径主砲,5,0,0
105,試製41cm三連装砲,大口径主砲,5,0,0
106,13号対空電探改,小型電探,4,0,0
107,艦隊司令部施設,艦隊司令部施設,1,0,0
108,熟練艦載機整備員,航空要員,1,0,0
109,零戦52型丙(六〇一空),艦上戦闘機,9,0,0
110,烈風(六〇一空),艦上戦闘機,11,0,0
111,彗星(六〇一空),艦上爆撃機,0,0,0
112,天山(六〇一空),艦上攻撃機,0,0,0
113,流星(六〇一空),艦上攻撃機,0,0,0
114,38cm連装砲改,大口径主砲,2,0,0
115,Ar196改,水上偵察機,1,0,0
116,一式徹甲弾,対艦強化弾,0,0,0
117,試製46cm連装砲,大口径主砲,4,0,0
118,紫雲,水上偵察機,0,0,0
119,14cm連装砲,中口径主砲,0,0,0
120,91式高射装置,高射装置,2,0,0
121,94式高射装置,高射装置,3,0,0
122,10cm連装高角砲+高射装置,小口径主砲,10,0,0
123,SKC34 20.3cm連装砲,中口径主砲,2,0,0
124,FuMO25 レーダー,大型電探,7,0,0
125,61cm三連装(酸素)魚雷,魚雷,0,0,0
126,WG42 (Wurfgerat 42),対地装備,0,0,0
127,試製FaT仕様九五式酸素魚雷改,潜水艦魚雷,0,0,0
128,試製51cm連装砲,大口径主砲,5,0,0
129,熟練見張員,水上艦要員,1,0,0
130,12.7cm高角砲+高射装置,副砲,8,0,0
131,25mm三連装機銃 集中配備,対空機銃,9,0,0
132,零式水中聴音機,ソナー,0,0,0
133,381mm/50 三連装砲,大口径主砲,2,0,0
134,OTO 152mm三連装速射砲,副砲,2,0,0
135,90mm単装高角砲,副砲,8,0,0
136,プリエーゼ式水中防御隔壁,追加装甲(大型),0,0,0
